4LFTX.surface                                               Best (4 layer) Lifted Index
RH.0.995_sigma_level                                        Relative Humidity
RH.0C_isotherm                                              Relative Humidity
RH.1000_mb                                                  Relative Humidity
RH.100_mb                                                   Relative Humidity
RH.10_mb                                                    Relative Humidity
RH.150_mb                                                   Relative Humidity
RH.15_mb                                                    Relative Humidity
RH.1_mb                                                     Relative Humidity
RH.200_mb                                                   Relative Humidity
RH.20_mb                                                    Relative Humidity
RH.250_mb                                                   Relative Humidity
RH.2_m_above_ground                                         Relative Humidity
RH.2_mb                                                     Relative Humidity
RH.30-0_mb_above_ground                                     Relative Humidity
RH.300_mb                                                   Relative Humidity
RH.30_mb                                                    Relative Humidity
RH.350_mb                                                   Relative Humidity
RH.3_mb                                                     Relative Humidity
RH.400_mb                                                   Relative Humidity
RH.40_mb                                                    Relative Humidity
RH.450_mb                                                   Relative Humidity
RH.500_mb                                                   Relative Humidity
RH.50_mb                                                    Relative Humidity
RH.550_mb                                                   Relative Humidity
RH.5_mb                                                     Relative Humidity
RH.600_mb                                                   Relative Humidity
RH.650_mb                                                   Relative Humidity
RH.700_mb                                                   Relative Humidity
RH.70_mb                                                    Relative Humidity
RH.750_mb                                                   Relative Humidity
RH.7_mb                                                     Relative Humidity
RH.800_mb                                                   Relative Humidity
RH.850_mb                                                   Relative Humidity
RH.900_mb                                                   Relative Humidity
RH.925_mb                                                   Relative Humidity
RH.950_mb                                                   Relative Humidity
RH.975_mb                                                   Relative Humidity
RH.entire_atmosphere_considered_as_a_single_layer           Relative Humidity
RH.highest_tropospheric_freezing_level                      Relative Humidity
RWMR.1000_mb                                                Rain Mixing Ratio
RWMR.100_mb                                                 Rain Mixing Ratio
RWMR.150_mb                                                 Rain Mixing Ratio
RWMR.1_hybrid_level                                         Rain Mixing Ratio
RWMR.200_mb                                                 Rain Mixing Ratio
RWMR.250_mb                                                 Rain Mixing Ratio
RWMR.300_mb                                                 Rain Mixing Ratio
RWMR.350_mb                                                 Rain Mixing Ratio
RWMR.400_mb                                                 Rain Mixing Ratio
RWMR.450_mb                                                 Rain Mixing Ratio
RWMR.500_mb                                                 Rain Mixing Ratio
RWMR.50_mb                                                  Rain Mixing Ratio
RWMR.550_mb                                                 Rain Mixing Ratio
RWMR.600_mb                                                 Rain Mixing Ratio
RWMR.650_mb                                                 Rain Mixing Ratio
RWMR.700_mb                                                 Rain Mixing Ratio
RWMR.750_mb                                                 Rain Mixing Ratio
RWMR.800_mb                                                 Rain Mixing Ratio
RWMR.850_mb                                                 Rain Mixing Ratio
RWMR.900_mb                                                 Rain Mixing Ratio
RWMR.925_mb                                                 Rain Mixing Ratio
RWMR.950_mb                                                 Rain Mixing Ratio
RWMR.975_mb                                                 Rain Mixing Ratio
SFCR.surface                                                Surface Roughness
SNMR.1000_mb                                                Snow Mixing Ratio
SNMR.100_mb                                                 Snow Mixing Ratio
SNMR.150_mb                                                 Snow Mixing Ratio
SNMR.1_hybrid_level                                         Snow Mixing Ratio
SNMR.200_mb                                                 Snow Mixing Ratio
SNMR.250_mb                                                 Snow Mixing Ratio
SNMR.300_mb                                                 Snow Mixing Ratio
SNMR.350_mb                                                 Snow Mixing Ratio
SNMR.400_mb                                                 Snow Mixing Ratio
SNMR.450_mb                                                 Snow Mixing Ratio
SNMR.500_mb                                                 Snow Mixing Ratio
SNMR.50_mb                                                  Snow Mixing Ratio
SNMR.550_mb                                                 Snow Mixing Ratio
SNMR.600_mb                                                 Snow Mixing Ratio
SNMR.650_mb                                                 Snow Mixing Ratio
SNMR.700_mb                                                 Snow Mixing Ratio
SNMR.750_mb                                                 Snow Mixing Ratio
SNMR.800_mb                                                 Snow Mixing Ratio
SNMR.850_mb                                                 Snow Mixing Ratio
SNMR.900_mb                                                 Snow Mixing Ratio
SNMR.925_mb                                                 Snow Mixing Ratio
SNMR.950_mb                                                 Snow Mixing Ratio
SNMR.975_mb                                                 Snow Mixing Ratio
SNOD.surface                                                Snow Depth
SOILL.0-0.1_m_below_ground                                  Liquid Volumetric Soil Moisture (non Frozen)
SOILL.0.1-0.4_m_below_ground                                Liquid Volumetric Soil Moisture (non Frozen)
SOILL.0.4-1_m_below_ground                                  Liquid Volumetric Soil Moisture (non Frozen)
SOILL.1-2_m_below_ground                                    Liquid Volumetric Soil Moisture (non Frozen)
SOILW.0-0.1_m_below_ground                                  Volumetric Soil Moisture Content
SOILW.0.1-0.4_m_below_ground                                Volumetric Soil Moisture Content
SOILW.0.4-1_m_below_ground                                  Volumetric Soil Moisture Content
SOILW.1-2_m_below_ground                                    Volumetric Soil Moisture Content
SOTYP.surface                                               Soil Type
SPFH.0.01_mb                                                Specific Humidity
SPFH.0.02_mb                                                Specific Humidity
SPFH.0.04_mb                                                Specific Humidity
SPFH.0.07_mb                                                Specific Humidity
SPFH.0.1_mb                                                 Specific Humidity
SPFH.0.2_mb                                                 Specific Humidity
SPFH.0.4_mb                                                 Specific Humidity
SPFH.0.7_mb                                                 Specific Humidity
SPFH.1000_mb                                                Specific Humidity
SPFH.100_mb                                                 Specific Humidity
SPFH.10_mb                                                  Specific Humidity
SPFH.150_mb                                                 Specific Humidity
SPFH.15_mb                                                  Specific Humidity
SPFH.1_mb                                                   Specific Humidity
SPFH.200_mb                                                 Specific Humidity
SPFH.20_mb                                                  Specific Humidity
SPFH.250_mb                                                 Specific Humidity
SPFH.2_m_above_ground                                       Specific Humidity
SPFH.2_mb                                                   Specific Humidity
SPFH.30-0_mb_above_ground                                   Specific Humidity
SPFH.300_mb                                                 Specific Humidity
SPFH.30_mb                                                  Specific Humidity
SPFH.350_mb                                                 Specific Humidity
SPFH.3_mb                                                   Specific Humidity
SPFH.400_mb                                                 Specific Humidity
SPFH.40_mb                                                  Specific Humidity
SPFH.450_mb                                                 Specific Humidity
SPFH.500_mb                                                 Specific Humidity
SPFH.50_mb                                                  Specific Humidity
SPFH.550_mb                                                 Specific Humidity
SPFH.5_mb                                                   Specific Humidity
SPFH.600_mb                                                 Specific Humidity
SPFH.650_mb                                                 Specific Humidity
SPFH.700_mb                                                 Specific Humidity
SPFH.70_mb                                                  Specific Humidity
SPFH.750_mb                                                 Specific Humidity
SPFH.7_mb                                                   Specific Humidity
SPFH.800_mb                                                 Specific Humidity
SPFH.80_m_above_ground                                      Specific Humidity
SPFH.850_mb                                                 Specific Humidity
SPFH.900_mb                                                 Specific Humidity
SPFH.925_mb                                                 Specific Humidity
SPFH.950_mb                                                 Specific Humidity
SPFH.975_mb                                                 Specific Humidity
SUNSD.surface                                               Sunshine Duration
TCDC.1000_mb                                                Total Cloud Cover
TCDC.100_mb                                                 Total Cloud Cover
TCDC.150_mb                                                 Total Cloud Cover
TCDC.200_mb                                                 Total Cloud Cover
TCDC.250_mb                                                 Total Cloud Cover
TCDC.300_mb                                                 Total Cloud Cover
TCDC.350_mb                                                 Total Cloud Cover
TCDC.400_mb                                                 Total Cloud Cover
TCDC.450_mb                                                 Total Cloud Cover
TCDC.500_mb                                                 Total Cloud Cover
TCDC.50_mb                                                  Total Cloud Cover
TCDC.550_mb                                                 Total Cloud Cover
TCDC.600_mb                                                 Total Cloud Cover
TCDC.650_mb                                                 Total Cloud Cover
TCDC.700_mb                                                 Total Cloud Cover
TCDC.750_mb                                                 Total Cloud Cover
TCDC.800_mb                                                 Total Cloud Cover
TCDC.850_mb                                                 Total Cloud Cover
TCDC.900_mb                                                 Total Cloud Cover
TCDC.925_mb                                                 Total Cloud Cover
TCDC.950_mb                                                 Total Cloud Cover
TCDC.975_mb                                                 Total Cloud Cover
TCDC.entire_atmosphere                                      Total Cloud Cover
TMP.0.01_mb                                                 Temperature
TMP.0.02_mb                                                 Temperature
TMP.0.04_mb                                                 Temperature
TMP.0.07_mb                                                 Temperature
TMP.0.1_mb                                                  Temperature
TMP.0.2_mb                                                  Temperature
TMP.0.4_mb                                                  Temperature
TMP.0.7_mb                                                  Temperature
TMP.0.995_sigma_level                                       Temperature
TMP.1000_mb                                                 Temperature
TMP.100_m_above_ground                                      Temperature
TMP.100_mb                                                  Temperature
TMP.10_mb                                                   Temperature
TMP.150_mb                                                  Temperature
TMP.15_mb                                                   Temperature
TMP.1829_m_above_mean_sea_level                             Temperature
TMP.1_mb                                                    Temperature
TMP.200_mb                                                  Temperature
TMP.20_mb                                                   Temperature
TMP.250_mb                                                  Temperature
TMP.2743_m_above_mean_sea_level                             Temperature
TMP.2_m_above_ground                                        Temperature
TMP.2_mb                                                    Temperature
TMP.30-0_mb_above_ground                                    Temperature
TMP.300_mb                                                  Temperature
TMP.30_mb                                                   Temperature
TMP.350_mb                                                  Temperature
TMP.3658_m_above_mean_sea_level                             Temperature
TMP.3_mb                                                    Temperature
TMP.400_mb                                                  Temperature
TMP.40_mb                                                   Temperature
TMP.450_mb                                                  Temperature
TMP.500_mb                                                  Temperature
TMP.50_mb                                                   Temperature
TMP.550_mb                                                  Temperature
TMP.5_mb                                                    Temperature
TMP.600_mb                                                  Temperature
TMP.650_mb                                                  Temperature
TMP.700_mb                                                  Temperature
TMP.70_mb                                                   Temperature
TMP.750_mb                                                  Temperature
TMP.7_mb                                                    Temperature
TMP.800_mb                                                  Temperature
TMP.80_m_above_ground                                       Temperature
TMP.850_mb                                                  Temperature
TMP.900_mb                                                  Temperature
TMP.925_mb                                                  Temperature
TMP.950_mb                                                  Temperature
TMP.975_mb                                                  Temperature
TMP.PV2e06Km2kgs_surface                                    Temperature
TMP.PVNeg2e06Km2kgs_surface                                 Temperature
TMP.max_wind                                                Temperature
TMP.surface                                                 Temperature
TMP.tropopause                                              Temperature
TOZNE.entire_atmosphere_considered_as_a_single_layer        Total Ozone
TSOIL.0-0.1_m_below_ground                                  Soil Temperature
TSOIL.0.1-0.4_m_below_ground                                Soil Temperature
TSOIL.0.4-1_m_below_ground                                  Soil Temperature
TSOIL.1-2_m_below_ground                                    Soil Temperature
UGRD.0.01_mb                                                U-Component of Wind
UGRD.0.02_mb                                                U-Component of Wind
UGRD.0.04_mb                                                U-Component of Wind
UGRD.0.07_mb                                                U-Component of Wind
UGRD.0.1_mb                                                 U-Component of Wind
UGRD.0.2_mb                                                 U-Component of Wind
UGRD.0.4_mb                                                 U-Component of Wind
UGRD.0.7_mb                                                 U-Component of Wind
UGRD.0.995_sigma_level                                      U-Component of Wind
UGRD.1000_mb                                                U-Component of Wind
UGRD.100_m_above_ground                                     U-Component of Wind
UGRD.100_mb                                                 U-Component of Wind
UGRD.10_m_above_ground                                      U-Component of Wind
UGRD.10_mb                                                  U-Component of Wind
UGRD.150_mb                                                 U-Component of Wind
UGRD.15_mb                                                  U-Component of Wind
UGRD.1829_m_above_mean_sea_level                            U-Component of Wind
UGRD.1_mb                                                   U-Component of Wind
UGRD.200_mb                                                 U-Component of Wind
UGRD.20_m_above_ground                                      U-Component of Wind
UGRD.20_mb                                                  U-Component of Wind
UGRD.250_mb                                                 U-Component of Wind
UGRD.2743_m_above_mean_sea_level                            U-Component of Wind
UGRD.2_mb                                                   U-Component of Wind
UGRD.30-0_mb_above_ground                                   U-Component of Wind
UGRD.300_mb                                                 U-Component of Wind
UGRD.30_m_above_ground                                      U-Component of Wind
UGRD.30_mb                                                  U-Component of Wind
UGRD.350_mb                                                 U-Component of Wind
UGRD.3658_m_above_mean_sea_level                            U-Component of Wind
UGRD.3_mb                                                   U-Component of Wind
UGRD.400_mb                                                 U-Component of Wind
UGRD.40_m_above_ground                                      U-Component of Wind
UGRD.40_mb                                                  U-Component of Wind
UGRD.450_mb                                                 U-Component of Wind
UGRD.500_mb                                                 U-Component of Wind
UGRD.50_m_above_ground                                      U-Component of Wind
UGRD.50_mb                                                  U-Component of Wind
UGRD.550_mb                                                 U-Component of Wind
UGRD.5_mb                                                   U-Component of Wind
UGRD.600_mb                                                 U-Component of Wind
UGRD.650_mb                                                 U-Component of Wind
UGRD.700_mb                                                 U-Component of Wind
UGRD.70_mb                                                  U-Component of Wind
UGRD.750_mb                                                 U-Component of Wind
UGRD.7_mb                                                   U-Component of Wind
UGRD.800_mb                                                 U-Component of Wind
UGRD.80_m_above_ground                                      U-Component of Wind
UGRD.850_mb                                                 U-Component of Wind
UGRD.900_mb                                                 U-Component of Wind
UGRD.925_mb                                                 U-Component of Wind
UGRD.950_mb                                                 U-Component of Wind
UGRD.975_mb                                                 U-Component of Wind
UGRD.PV2e06Km2kgs_surface                                   U-Component of Wind
UGRD.PVNeg2e06Km2kgs_surface                                U-Component of Wind
UGRD.max_wind                                               U-Component of Wind
UGRD.planetary_boundary_layer                               U-Component of Wind
UGRD.tropopause                                             U-Component of Wind
USTM.6000-0_m_above_ground                                  U-Component Storm Motion
VEG.surface                                                 Vegetation
VGRD.0.01_mb                                                V-Component of Wind
VGRD.0.02_mb                                                V-Component of Wind
VGRD.0.04_mb                                                V-Component of Wind
VGRD.0.07_mb                                                V-Component of Wind
VGRD.0.1_mb                                                 V-Component of Wind
VGRD.0.2_mb                                                 V-Component of Wind
VGRD.0.4_mb                                                 V-Component of Wind
VGRD.0.7_mb                                                 V-Component of Wind
